Andorra la Vella|ad|Andorra la Vella|20430|42.51|1.51|
Canillo|ad|Canillo|3292|42.57|1.6|
Encamp|ad|Encamp|11224|42.54|1.57|
Les Escaldes|ad|Escaldes-Engordany|15854|42.5|1.53|
La Massana|ad|La Massana|7211|42.55|1.51|
Ordino|ad|Ordino|2553|42.6|1.55|
Sant Julia de Loria|ad|Sant Julia de Loria|8020|42.47|1.5|
Abu Dhabi|ae|Abu Dhabi|603687|24.48|54.37|
al-Ayn|ae|Abu Dhabi|408894|24.23|55.74|
Ajman|ae|Ajman|226175|25.42|55.43|
Dubai|ae|Dubai|1137376|25.27|55.33|
Ras al-Hzaymah|ae|Ras al Khaymah|115976|25.79|55.94|
Sharjah|ae|Sharjah|543942|25.37|55.41|
Umm al-Qaywayn|ae|Umm al-Qaywayn|44460|25.59|55.56|
Hzawr Fakkan|ae|al-Fujayrah|33576|25.34|56.36|
al-Fujayrah|ae|al-Fujayrah|62607|25.13|56.34|
Eskasem|af|Badakhshan|12120|36.72|71.56|
Fayzabad|af|Badakhshan|40289|37.13|70.58|
Hzandud|af|Badakhshan|5521|36.93|72.32|
Jurm|af|Badakhshan|12121|36.85|70.82|
Qaleh-ye Panjeh|af|Badakhshan|9152|37|72.76|
Bala Morgab|af|Badgis|15088|35.56|63.33|
Qaleh-ye Naw|af|Badgis|52571|34.99|63.12|
Andarab|af|Baglan|27034|35.62|69.21|
Baglan|af|Baglan|108481|36.14|68.7|
Dahaneh-ye Gawri|af|Baglan|3308|35.9|68.48|
Nahrin|af|Baglan|22389|36.07|69.13|
Pol-e Hzumri|af|Baglan|56388|35.95|68.7|
Balhz|af|Balhz|115035|36.75|66.9|
Dawlatabad|af|Balhz|17674|36.98|66.82|
Mazar-e Sarif|af|Balhz|303385|36.7|67.1|
Qarchi Gak|af|Balhz|8942|37.03|66.77|
Sulgara|af|Balhz|21546|36.33|66.87|
Tas Gozar|af|Balhz|38981|37.13|67.19|
Bamiyan|af|Bamiyan|125422|34.82|67.52|
Panjab|af|Bamiyan|13471|34.4|67.03|
Qil Qaleh|af|Bamiyan|9239|35.27|67.05|
Anar Darreh|af|Farah|10023|32.75|61.65|
Farah|af|Farah|43574|32.39|62.1|
Sindand|af|Farah|29273|33.31|62.16|
Andhzvoy|af|Faryab|29218|36.93|65.1|
Darzi Ab|af|Faryab|9653|35.98|65.4|
Dawlatabad|af|Faryab|13603|36.41|64.91|
Maymanah|af|Faryab|79287|35.93|64.77|
Cagcaran|af|Gawr|31495|34.52|65.25|
Sahrak|af|Gawr|15967|34.1|64.3|
